x,sigma x,y,sigma y
1.09060,-0.30940,4.75750,0.79070
3.09060,0.29060,4.45620,0.70030
5.09060,0.89060,4.18350,0.61850
7.09060,1.49060,3.93670,0.54440
9.09060,2.09060,3.71350,0.47750
11.09060,2.69060,3.51140,0.41680
13.09060,3.29060,3.32860,0.36200
15.09060,3.89060,3.16320,0.31240
18.09060,4.79060,2.94420,0.24670
21.09060,5.69060,2.75560,0.19010
24.09060,6.59060,2.59340,0.14140
27.09060,7.49060,2.45370,0.09950
30.09060,8.39060,2.33350,0.06350
33.09060,9.29060,2.23000,0.03240
36.09060,10.19060,2.14090,0.00570
39.09060,11.09060,2.06430,-0.01730
42.09060,11.99060,1.99830,-0.03710
45.09060,12.89060,1.94150,-0.05410
48.09060,13.79060,1.89260,-0.06880
54.09060,15.59060,1.81430,-0.09230
60.09060,17.39060,1.75640,-0.10970
66.09060,19.19060,1.71340,-0.12260
72.09060,20.99060,1.68160,-0.13210
78.09060,22.79060,1.65800,-0.13920
84.09060,24.59060,1.64050,-0.14440
90.09060,26.39060,1.62760,-0.14830
96.09060,28.19060,1.61800,-0.15120
102.09060,29.99060,1.61090,-0.15330
108.09060,31.79060,1.60560,-0.15490
114.09060,33.59060,1.60170,-0.15610
120.09060,35.39060,1.59880,-0.15690
126.09060,37.19060,1.59670,-0.15760
134.09060,39.59060,1.59470,-0.15820
142.09060,41.99060,1.59330,-0.15860
150.09060,44.39060,1.59240,-0.15890
158.09060,46.79060,1.59180,-0.15900
166.09060,49.19060,1.59140,-0.15920
174.09060,51.59060,1.59110,-0.15920
182.09060,53.99060,1.59100,-0.15930
190.09060,56.39060,1.59080,-0.15930
198.09060,58.79060,1.59080,-0.15940
206.09060,61.19060,1.59070,-0.15940
214.09060,63.59060,1.59070,-0.15940
222.09060,65.99060,1.59060,-0.15940
230.09060,68.39060,1.59060,-0.15940
238.09060,70.79060,1.59060,-0.15940
246.09060,73.19060,1.59060,-0.15940
254.09060,75.59060,1.59060,-0.15940
262.09060,77.99060,1.59060,-0.15940
270.09060,80.39060,1.59060,-0.15940
